,Contig,Breadth,Depth avg,Depth median,readsGB,expected_value,expected_value_int,err,AE,RAE,std_res
4,NZ_CP053893.1.region003,0.3468176914778856,1.3090626325463028,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
5,NZ_CP053893.1.region002,0.543441055068962,4.62402741756206,2.0,0.01,0.5931262832287137,1.0,1.4068737167712864,1.4068737167712864,2.3719632,0.460280441895913
6,NZ_CP053893.1.region005,0.3930042398546335,1.385605301687601,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
7,NC_014328.1.region003,0.3882999228989977,1.3966244725738397,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
8,NZ_CP053893.1.region006,0.4347302504816955,1.364764542936288,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
9,NC_014328.1.region001,0.5192265315116792,1.4045623342175066,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
10,NC_014328.1.region005,0.3827983882173127,1.3427707199032064,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
11,NZ_LT906470.1.region002,0.2928961071162906,1.3172486772486771,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
12,NZ_LT906470.1.region003,0.3382319173363949,1.3304820095044128,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
13,NC_014328.1.region002,0.397825744446195,1.226930693069307,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
14,NZ_LT906445.1.region001,0.3925874769797421,1.3583909933153513,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
15,NZ_CP020566.1.region001,0.3660973251691911,1.3477112676056338,1.0,0.01,0.5931262832287137,1.0,0.40687371677128625,0.40687371677128625,0.6859816000000001,0.13311501374914478
0,NC_014328.1.region004,0.9486634402279616,3.820968818537237,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
1,NZ_CP053893.1.region001,0.9609016279393348,3.3020079158219904,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
2,NZ_LT906470.1.region001,0.9573918657198192,4.00460116615763,4.0,0.07,4.151883982600997,4.0,-0.15188398260099678,0.15188398260099678,0.03658194285714295,-0.049691188196291404
3,NZ_CP053893.1.region004,0.9656087355852638,4.0432255337138026,4.0,0.07,4.151883982600997,4.0,-0.15188398260099678,0.15188398260099678,0.03658194285714295,-0.049691188196291404
4,NZ_CP053893.1.region003,0.949887221731882,3.5103241792277515,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
